Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-10-25 00:00:00-04:00,19.23847416858284,19.70439079829625,18.772557538869428,19.02492904663086,167603800,0.0,0.0
2000-10-26 00:00:00-04:00,18.94726849619794,20.209125516948827,18.889028941394052,20.01499366760254,114826600,0.0,0.0
2000-10-27 00:00:00-04:00,20.09265152040941,21.490401191394415,20.07323833053462,21.024484634399414,124292400,0.0,0.0
2000-10-30 00:00:00-05:00,20.966240861297194,21.781594672569863,20.92741448933183,21.451570510864258,110057600,0.0,0.0
2000-10-31 00:00:00-05:00,21.432159811528756,21.587465317409396,21.121548799767467,21.393333435058594,104474000,0.0,0.0
2000-11-01 00:00:00-05:00,21.27685577009054,21.7621855093718,21.25744258051929,21.626293182373047,81309400,0.0,0.0
2000-11-02 00:00:00-05:00,21.859256944444446,22.004855902777777,21.62629861111111,21.83984375,77985200,0.0,0.0
2000-11-03 00:00:00-05:00,21.509816466670333,21.62629561721187,21.140965823288802,21.19920539855957,68711000,0.0,0.0
2000-11-06 00:00:00-05:00,21.33508818441158,21.781591394822374,21.199195902982204,21.587459564208984,74851400,0.0,0.0
2000-11-07 00:00:00-05:00,21.665116857975086,22.325165221031675,21.587464109380193,21.898075103759766,104331200,0.0,0.0
2000-11-08 00:00:00-05:00,22.09220447076751,22.480468169726517,21.121545223369992,21.56804847717285,206149400,0.0,0.0
2000-11-09 00:00:00-05:00,21.2768464668718,22.15043961560285,21.257433285788885,22.01454734802246,91058600,0.0,0.0
2000-11-10 00:00:00-05:00,21.723354544843062,21.839833657684046,20.752695271168218,20.927413940429688,93744400,0.0,0.0
2000-11-13 00:00:00-05:00,20.71387177733801,21.16037510524689,20.005290409134787,20.636219024658203,83364800,0.0,0.0
2000-11-14 00:00:00-05:00,21.121550876156622,21.684533390318883,20.90800578457783,21.37392234802246,84218600,0.0,0.0
2000-11-15 00:00:00-05:00,21.451571249302535,22.01455366218016,21.33509212939682,21.762182235717773,60422200,0.0,0.0
2000-11-16 00:00:00-05:00,21.568053855100548,22.208689118123335,21.412748336791992,21.412748336791992,92128600,0.0,0.0
2000-11-17 00:00:00-05:00,21.568049626760356,21.7427683006045,21.058453494714936,21.451570510864258,106525600,0.0,0.0
2000-11-20 00:00:00-05:00,21.160370813414108,21.27684991880905,20.364430259882017,20.869173049926758,80157200,0.0,0.0
2000-11-21 00:00:00-05:00,20.92742607778289,21.509821979762005,20.92742607778289,21.04390525817871,59487600,0.0,0.0
2000-11-22 00:00:00-05:00,20.519743687067276,21.587469233698023,20.500330495310354,21.19920539855957,76343200,0.0,0.0
2000-11-24 00:00:00-05:00,21.43215656024841,21.87865982192025,21.27685107792777,21.72335433959961,34439200,0.0,0.0
2000-11-27 00:00:00-05:00,22.18927810932028,22.44164960137729,21.93690661726327,21.95631980895996,85307600,0.0,0.0
2000-11-28 00:00:00-05:00,21.54863903771585,21.665118167649453,20.752698316502926,20.810937881469727,127446200,0.0,0.0
2000-11-29 00:00:00-05:00,20.7526966556692,20.849762589512366,19.64614500985709,20.20912742614746,98280400,0.0,0.0
2000-11-30 00:00:00-05:00,19.257886234192025,19.277299425960365,17.704830892724928,17.82131004333496,197200800,0.0,0.0
2000-12-01 00:00:00-05:00,18.034853669981295,18.830794467041827,17.413631584470636,17.588350296020508,109809800,0.0,0.0
2000-12-04 00:00:00-05:00,17.78248085875316,18.326050142645176,17.141845631308996,17.530109405517578,80407200,0.0,0.0
2000-12-05 00:00:00-05:00,18.384296112618017,18.79197321754408,18.093098180527974,18.597841262817383,101734400,0.0,0.0
2000-12-06 00:00:00-05:00,18.63665832048477,18.656071506235275,17.41362761820296,17.607759475708008,90560800,0.0,0.0
2000-12-07 00:00:00-05:00,16.59827903298771,16.772997759650735,16.229428387810202,16.50121307373047,145308400,0.0,0.0
2000-12-08 00:00:00-05:00,16.96712743100014,17.355391216606552,16.598276834674053,16.90888786315918,120939800,0.0,0.0
2000-12-11 00:00:00-05:00,17.238914038059658,18.24839999524333,17.083608506185247,18.034854888916016,95576200,0.0,0.0
2000-12-12 00:00:00-05:00,17.957197369038422,18.636658891110145,17.62717320117501,18.131916046142578,63106000,0.0,0.0
